"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"02/01/2024 08:00 - 02/01/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 08:00 - 02/01/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 09:00 - 02/01/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 09:00 - 02/01/2024 10:00","MBA|NO1","aFRR","0.00","0.00","51.00","0.00"
"02/01/2024 09:00 - 02/01/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 09:00 - 02/01/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 10:00 - 02/01/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 10:00 - 02/01/2024 11:00","MBA|NO1","aFRR","0.00","0.00","51.00","0.00"
"02/01/2024 10:00 - 02/01/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 10:00 - 02/01/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 11:00 - 02/01/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 11:00 - 02/01/2024 12:00","MBA|NO1","aFRR","0.00","0.00","24.00","9.71"
"02/01/2024 11:00 - 02/01/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 11:00 - 02/01/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 12:00 - 02/01/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 12:00 - 02/01/2024 13:00","MBA|NO1","aFRR","0.00","0.00","46.00","45.18"
"02/01/2024 12:00 - 02/01/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 12:00 - 02/01/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 13:00 - 02/01/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 13:00 - 02/01/2024 14:00","MBA|NO1","aFRR","0.00","0.00","46.00","21.33"
"02/01/2024 13:00 - 02/01/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 13:00 - 02/01/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 14:00 - 02/01/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 14:00 - 02/01/2024 15:00","MBA|NO1","aFRR","0.00","0.00","46.00","0.00"
"02/01/2024 14:00 - 02/01/2024 15:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 14:00 - 02/01/2024 15:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 15:00 - 02/01/2024 16:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 15:00 - 02/01/2024 16:00","MBA|NO1","aFRR","0.00","0.00","45.00","14.54"
"02/01/2024 15:00 - 02/01/2024 16:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 15:00 - 02/01/2024 16:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 16:00 - 02/01/2024 17:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 16:00 - 02/01/2024 17:00","MBA|NO1","aFRR","0.00","0.00","69.00","29.56"
"02/01/2024 16:00 - 02/01/2024 17:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 16:00 - 02/01/2024 17:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 17:00 - 02/01/2024 18:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 17:00 - 02/01/2024 18:00","MBA|NO1","aFRR","0.00","0.00","53.00","32.67"
"02/01/2024 17:00 - 02/01/2024 18:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 17:00 - 02/01/2024 18:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 18:00 - 02/01/2024 19:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 18:00 - 02/01/2024 19:00","MBA|NO1","aFRR","0.00","0.00","51.00","5.72"
"02/01/2024 18:00 - 02/01/2024 19:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 18:00 - 02/01/2024 19:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 19:00 - 02/01/2024 20:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 19:00 - 02/01/2024 20:00","MBA|NO1","aFRR","0.00","0.00","24.00","0.00"
"02/01/2024 19:00 - 02/01/2024 20:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 19:00 - 02/01/2024 20:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 20:00 - 02/01/2024 21:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 20:00 - 02/01/2024 21:00","MBA|NO1","aFRR","0.00","0.00","60.00","9.19"
"02/01/2024 20:00 - 02/01/2024 21:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 20:00 - 02/01/2024 21:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 21:00 - 02/01/2024 22:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 21:00 - 02/01/2024 22:00","MBA|NO1","aFRR","0.00","0.00","75.00","28.49"
"02/01/2024 21:00 - 02/01/2024 22:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 21:00 - 02/01/2024 22:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 22:00 - 02/01/2024 23:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 22:00 - 02/01/2024 23:00","MBA|NO1","aFRR","0.00","0.00","75.00","9.70"
"02/01/2024 22:00 - 02/01/2024 23:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 22:00 - 02/01/2024 23:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"02/01/2024 23:00 - 03/01/2024 00:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"02/01/2024 23:00 - 03/01/2024 00:00","MBA|NO1","aFRR","0.00","0.00","60.00","39.83"
"02/01/2024 23:00 - 03/01/2024 00:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"02/01/2024 23:00 - 03/01/2024 00:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 00:00 - 03/01/2024 01:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 00:00 - 03/01/2024 01:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.15"
"03/01/2024 00:00 - 03/01/2024 01:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 00:00 - 03/01/2024 01:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 01:00 - 03/01/2024 02:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 01:00 - 03/01/2024 02:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"03/01/2024 01:00 - 03/01/2024 02:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 01:00 - 03/01/2024 02:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 02:00 - 03/01/2024 03:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 02:00 - 03/01/2024 03:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"03/01/2024 02:00 - 03/01/2024 03:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 02:00 - 03/01/2024 03:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 03:00 - 03/01/2024 04:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 03:00 - 03/01/2024 04:00","MBA|NO1","aFRR","0.00","0.00","0.00","0.00"
"03/01/2024 03:00 - 03/01/2024 04:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 03:00 - 03/01/2024 04:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 04:00 - 03/01/2024 05:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 04:00 - 03/01/2024 05:00","MBA|NO1","aFRR","14.00","2.23","60.00","28.78"
"03/01/2024 04:00 - 03/01/2024 05:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 04:00 - 03/01/2024 05:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 05:00 - 03/01/2024 06:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 05:00 - 03/01/2024 06:00","MBA|NO1","aFRR","0.00","0.03","60.00","4.75"
