Delivery Start (CET);Delivery End (CET);NO2 Fossil Gas (MW);NO2 Hydro Pumped Storage (MW);NO2 Hydro Run Of River And Poundage (MW);NO2 Hydro Water Reservoir (MW);NO2 Waste (MW);NO2 Wind Offshore (MW);NO2 Wind Onshore (MW);NO2 Total (MW)
17.03.2025 01:00:00;17.03.2025 02:00:00;14;91;738;6532;4;;65;7444
17.03.2025 02:00:00;17.03.2025 03:00:00;14;91;738;6635;4;;76;7558
17.03.2025 03:00:00;17.03.2025 04:00:00;14;91;736;6654;4;;103;7602
17.03.2025 04:00:00;17.03.2025 05:00:00;14;91;736;6719;4;;99;7663
17.03.2025 05:00:00;17.03.2025 06:00:00;14;196;730;7246;4;;132;8322
17.03.2025 06:00:00;17.03.2025 07:00:00;14;450;736;7780;4;;135;9119
17.03.2025 07:00:00;17.03.2025 08:00:00;14;477;743;7897;4;;134;9269
17.03.2025 08:00:00;17.03.2025 09:00:00;14;436;733;7758;4;;102;9047
17.03.2025 09:00:00;17.03.2025 10:00:00;14;283;734;7547;5;;119;8702
17.03.2025 10:00:00;17.03.2025 11:00:00;14;136;728;6853;4;;168;7903
17.03.2025 11:00:00;17.03.2025 12:00:00;14;73;729;5972;4;;245;7037
17.03.2025 12:00:00;17.03.2025 13:00:00;14;71;736;5063;4;;252;6140
17.03.2025 13:00:00;17.03.2025 14:00:00;14;71;737;5217;4;;250;6293
17.03.2025 14:00:00;17.03.2025 15:00:00;14;71;742;5758;5;;294;6884
17.03.2025 15:00:00;17.03.2025 16:00:00;14;92;747;6227;4;;325;7409
17.03.2025 16:00:00;17.03.2025 17:00:00;14;95;745;6714;5;;372;7945
17.03.2025 17:00:00;17.03.2025 18:00:00;14;350;752;7376;5;;416;8913
17.03.2025 18:00:00;17.03.2025 19:00:00;14;427;752;7729;5;;435;9362
17.03.2025 19:00:00;17.03.2025 20:00:00;14;446;746;7803;5;;610;9624
17.03.2025 20:00:00;17.03.2025 21:00:00;14;250;732;7047;5;;722;8770
17.03.2025 21:00:00;17.03.2025 22:00:00;14;95;731;6858;5;;639;8342
17.03.2025 22:00:00;17.03.2025 23:00:00;14;94;717;6458;5;;591;7879
17.03.2025 23:00:00;18.03.2025 00:00:00;14;95;713;6131;5;;535;7493
18.03.2025 00:00:00;18.03.2025 01:00:00;14;70;709;5904;5;;553;7255
18.03.2025 01:00:00;18.03.2025 02:00:00;14;70;710;5650;5;;614;7063
18.03.2025 02:00:00;18.03.2025 03:00:00;14;70;708;5644;5;;669;7110
18.03.2025 03:00:00;18.03.2025 04:00:00;14;70;700;5600;5;;694;7083
18.03.2025 04:00:00;18.03.2025 05:00:00;14;69;686;5669;5;;689;7132
18.03.2025 05:00:00;18.03.2025 06:00:00;14;91;671;6290;5;;659;7730
18.03.2025 06:00:00;18.03.2025 07:00:00;14;201;666;7447;5;;618;8951
18.03.2025 07:00:00;18.03.2025 08:00:00;14;342;656;7576;5;;533;9126
18.03.2025 08:00:00;18.03.2025 09:00:00;14;210;650;7093;5;;486;8458
18.03.2025 09:00:00;18.03.2025 10:00:00;14;86;652;6369;5;;385;7511
18.03.2025 10:00:00;18.03.2025 11:00:00;14;1;638;5197;5;;399;6254
18.03.2025 11:00:00;18.03.2025 12:00:00;14;1;632;4256;5;;430;5338
18.03.2025 12:00:00;18.03.2025 13:00:00;14;1;628;3835;5;;467;4950
18.03.2025 13:00:00;18.03.2025 14:00:00;14;1;619;3772;5;;528;4939
18.03.2025 14:00:00;18.03.2025 15:00:00;14;1;618;4137;5;;559;5334
18.03.2025 15:00:00;18.03.2025 16:00:00;14;1;623;5166;5;;498;6307
18.03.2025 16:00:00;18.03.2025 17:00:00;14;2;657;6074;5;;452;7204
18.03.2025 17:00:00;18.03.2025 18:00:00;14;71;679;6888;5;;410;8067
18.03.2025 18:00:00;18.03.2025 19:00:00;14;71;663;7168;5;;432;8353
18.03.2025 19:00:00;18.03.2025 20:00:00;14;66;663;6766;5;;485;7999
18.03.2025 20:00:00;18.03.2025 21:00:00;14;82;661;6535;5;;431;7728
18.03.2025 21:00:00;18.03.2025 22:00:00;14;81;659;6329;5;;394;7482
18.03.2025 22:00:00;18.03.2025 23:00:00;14;71;658;6034;5;;425;7207
18.03.2025 23:00:00;19.03.2025 00:00:00;14;66;653;5773;5;;447;6958
19.03.2025 00:00:00;19.03.2025 01:00:00;14;78;643;5619;5;;438;6797
19.03.2025 01:00:00;19.03.2025 02:00:00;14;74;644;5540;4;;471;6747
19.03.2025 02:00:00;19.03.2025 03:00:00;14;78;645;5502;4;;441;6684
19.03.2025 03:00:00;19.03.2025 04:00:00;14;73;643;5420;4;;439;6593
19.03.2025 04:00:00;19.03.2025 05:00:00;14;73;645;5435;4;;436;6607
19.03.2025 05:00:00;19.03.2025 06:00:00;14;90;645;5972;4;;366;7091
19.03.2025 06:00:00;19.03.2025 07:00:00;14;79;645;6972;4;;234;7948
19.03.2025 07:00:00;19.03.2025 08:00:00;14;71;644;7628;5;;124;8486
19.03.2025 08:00:00;19.03.2025 09:00:00;14;80;643;7248;5;;77;8067
19.03.2025 09:00:00;19.03.2025 10:00:00;14;64;614;6522;4;;40;7258
19.03.2025 10:00:00;19.03.2025 11:00:00;14;1;618;5034;5;;18;5690
19.03.2025 11:00:00;19.03.2025 12:00:00;14;1;635;3872;5;;15;4542
19.03.2025 12:00:00;19.03.2025 13:00:00;14;1;616;3449;5;;47;4132
19.03.2025 13:00:00;19.03.2025 14:00:00;14;1;617;3469;5;;77;4183
19.03.2025 14:00:00;19.03.2025 15:00:00;14;10;642;4067;5;;70;4808
19.03.2025 15:00:00;19.03.2025 16:00:00;14;152;623;5554;5;;52;6400
19.03.2025 16:00:00;19.03.2025 17:00:00;14;310;643;7189;5;;45;8206
19.03.2025 17:00:00;19.03.2025 18:00:00;14;302;678;7520;5;;45;8564
19.03.2025 18:00:00;19.03.2025 19:00:00;14;425;683;7666;5;;45;8838
19.03.2025 19:00:00;19.03.2025 20:00:00;14;300;688;7557;5;;52;8616
19.03.2025 20:00:00;19.03.2025 21:00:00;14;268;679;7360;5;;55;8381
19.03.2025 21:00:00;19.03.2025 22:00:00;14;138;686;7110;5;;60;8013
19.03.2025 22:00:00;19.03.2025 23:00:00;14;137;691;6882;5;;69;7798
19.03.2025 23:00:00;20.03.2025 00:00:00;14;134;693;6424;5;;66;7336
20.03.2025 00:00:00;20.03.2025 01:00:00;14;7;687;6193;5;;51;6957
20.03.2025 01:00:00;20.03.2025 02:00:00;14;1;690;6091;5;;58;6859
20.03.2025 02:00:00;20.03.2025 03:00:00;13;1;690;6020;5;;72;6801
20.03.2025 03:00:00;20.03.2025 04:00:00;14;1;687;5988;5;;71;6766
20.03.2025 04:00:00;20.03.2025 05:00:00;14;1;687;6146;5;;43;6896
20.03.2025 05:00:00;20.03.2025 06:00:00;14;2;683;6733;5;;44;7481
20.03.2025 06:00:00;20.03.2025 07:00:00;14;214;694;7525;5;;52;8504
20.03.2025 07:00:00;20.03.2025 08:00:00;14;208;707;7757;5;;79;8770
20.03.2025 08:00:00;20.03.2025 09:00:00;14;136;722;7186;5;;50;8113
20.03.2025 09:00:00;20.03.2025 10:00:00;13;140;727;6327;5;;29;7241
20.03.2025 10:00:00;20.03.2025 11:00:00;11;30;703;4770;5;;24;5543
20.03.2025 11:00:00;20.03.2025 12:00:00;12;1;710;4120;5;;55;4903
20.03.2025 12:00:00;20.03.2025 13:00:00;12;1;712;3641;5;;95;4466
20.03.2025 13:00:00;20.03.2025 14:00:00;12;1;717;3708;5;;113;4556
20.03.2025 14:00:00;20.03.2025 15:00:00;13;1;722;4025;5;;90;4856
20.03.2025 15:00:00;20.03.2025 16:00:00;14;1;720;5430;5;;73;6243
20.03.2025 16:00:00;20.03.2025 17:00:00;14;117;730;6750;5;;70;7686
20.03.2025 17:00:00;20.03.2025 18:00:00;14;285;747;7531;5;;95;8677
20.03.2025 18:00:00;20.03.2025 19:00:00;14;426;746;7647;5;;120;8958
20.03.2025 19:00:00;20.03.2025 20:00:00;14;437;747;7675;5;;125;9003
20.03.2025 20:00:00;20.03.2025 21:00:00;14;254;746;7448;5;;122;8589
20.03.2025 21:00:00;20.03.2025 22:00:00;14;194;743;6984;5;;167;8107
20.03.2025 22:00:00;20.03.2025 23:00:00;14;69;734;6594;5;;242;7658
20.03.2025 23:00:00;21.03.2025 00:00:00;14;3;738;6443;5;;255;7458
21.03.2025 00:00:00;21.03.2025 01:00:00;14;88;731;6840;5;;235;7913
21.03.2025 01:00:00;21.03.2025 02:00:00;14;88;731;6737;5;;301;7876
21.03.2025 02:00:00;21.03.2025 03:00:00;13;92;730;6399;5;;374;7613
21.03.2025 03:00:00;21.03.2025 04:00:00;14;92;726;6194;5;;470;7501
21.03.2025 04:00:00;21.03.2025 05:00:00;14;92;724;6345;5;;625;7805
21.03.2025 05:00:00;21.03.2025 06:00:00;14;92;724;6954;5;;730;8519
21.03.2025 06:00:00;21.03.2025 07:00:00;14;481;728;7200;5;;823;9251
21.03.2025 07:00:00;21.03.2025 08:00:00;13;449;728;7313;5;;934;9442
21.03.2025 08:00:00;21.03.2025 09:00:00;11;398;717;7116;5;;985;9232
21.03.2025 09:00:00;21.03.2025 10:00:00;13;6;682;6551;5;;996;8253
21.03.2025 10:00:00;21.03.2025 11:00:00;14;0;669;3937;5;;1038;5663
21.03.2025 11:00:00;21.03.2025 12:00:00;14;0;661;3098;5;;1078;4856
21.03.2025 12:00:00;21.03.2025 13:00:00;14;0;658;2910;5;;1105;4692
21.03.2025 13:00:00;21.03.2025 14:00:00;14;0;651;2229;5;;1103;4002
21.03.2025 14:00:00;21.03.2025 15:00:00;13;0;640;2336;6;;1135;4130
21.03.2025 15:00:00;21.03.2025 16:00:00;12;0;638;2614;7;;1148;4419
21.03.2025 16:00:00;21.03.2025 17:00:00;14;0;649;3843;6;;1110;5622
21.03.2025 17:00:00;21.03.2025 18:00:00;14;0;654;5457;6;;1103;7234
21.03.2025 18:00:00;21.03.2025 19:00:00;14;1;652;6278;6;;1158;8109
21.03.2025 19:00:00;21.03.2025 20:00:00;14;1;650;5408;5;;1247;7325
21.03.2025 20:00:00;21.03.2025 21:00:00;14;0;652;4730;6;;1256;6658
21.03.2025 21:00:00;21.03.2025 22:00:00;14;0;647;4268;6;;1282;6217
21.03.2025 22:00:00;21.03.2025 23:00:00;14;0;614;3544;6;;1287;5465
21.03.2025 23:00:00;22.03.2025 00:00:00;14;0;592;2709;7;;1266;4588
22.03.2025 00:00:00;22.03.2025 01:00:00;14;0;557;2466;5;;1250;4292
22.03.2025 01:00:00;22.03.2025 02:00:00;14;0;557;2193;5;;1254;4023
22.03.2025 02:00:00;22.03.2025 03:00:00;14;0;526;2218;5;;1295;4058
22.03.2025 03:00:00;22.03.2025 04:00:00;14;0;522;2246;5;;1293;4080
22.03.2025 04:00:00;22.03.2025 05:00:00;13;0;516;2272;6;;1306;4113
22.03.2025 05:00:00;22.03.2025 06:00:00;13;0;513;2299;5;;1311;4141
22.03.2025 06:00:00;22.03.2025 07:00:00;13;0;503;2338;5;;1313;4172
22.03.2025 07:00:00;22.03.2025 08:00:00;14;0;498;2281;5;;1296;4094
22.03.2025 08:00:00;22.03.2025 09:00:00;13;0;492;2091;6;;1284;3886
22.03.2025 09:00:00;22.03.2025 10:00:00;11;0;487;2105;5;;1295;3903
22.03.2025 10:00:00;22.03.2025 11:00:00;9;0;483;2059;5;;1286;3842
22.03.2025 11:00:00;22.03.2025 12:00:00;0;0;482;2126;5;;1298;3911
22.03.2025 12:00:00;22.03.2025 13:00:00;7;0;482;2148;5;;1302;3944
22.03.2025 13:00:00;22.03.2025 14:00:00;8;0;486;2231;6;;1297;4028
22.03.2025 14:00:00;22.03.2025 15:00:00;9;0;487;2200;6;;1300;4002
22.03.2025 15:00:00;22.03.2025 16:00:00;8;0;486;2037;6;;1302;3839
22.03.2025 16:00:00;22.03.2025 17:00:00;9;0;492;2250;6;;1302;4059
22.03.2025 17:00:00;22.03.2025 18:00:00;8;0;518;3125;6;;1294;4951
22.03.2025 18:00:00;22.03.2025 19:00:00;8;0;518;3718;5;;1305;5554
22.03.2025 19:00:00;22.03.2025 20:00:00;10;0;531;3746;5;;1289;5581
22.03.2025 20:00:00;22.03.2025 21:00:00;11;0;533;3484;5;;1258;5291
22.03.2025 21:00:00;22.03.2025 22:00:00;11;0;528;3030;5;;1288;4862
22.03.2025 22:00:00;22.03.2025 23:00:00;10;0;529;2900;6;;1292;4737
22.03.2025 23:00:00;23.03.2025 00:00:00;11;0;529;2764;6;;1279;4589
23.03.2025 00:00:00;23.03.2025 01:00:00;10;0;505;2347;6;;1281;4149
23.03.2025 01:00:00;23.03.2025 02:00:00;11;0;494;2252;6;;1275;4038
23.03.2025 02:00:00;23.03.2025 03:00:00;11;0;492;2311;6;;1275;4095
23.03.2025 03:00:00;23.03.2025 04:00:00;12;0;486;2264;6;;1256;4024
23.03.2025 04:00:00;23.03.2025 05:00:00;14;0;500;2172;6;;1251;3943
23.03.2025 05:00:00;23.03.2025 06:00:00;14;0;505;2278;7;;1238;4042
23.03.2025 06:00:00;23.03.2025 07:00:00;14;0;505;2250;6;;1232;4007
23.03.2025 07:00:00;23.03.2025 08:00:00;12;0;497;2179;6;;1235;3929
23.03.2025 08:00:00;23.03.2025 09:00:00;11;0;500;2452;6;;1223;4192
23.03.2025 09:00:00;23.03.2025 10:00:00;9;0;487;2412;6;;1257;4171
23.03.2025 10:00:00;23.03.2025 11:00:00;9;0;487;2298;7;;1258;4059
23.03.2025 11:00:00;23.03.2025 12:00:00;8;0;491;2369;5;;1257;4130
23.03.2025 12:00:00;23.03.2025 13:00:00;10;0;494;2576;5;;1250;4335
23.03.2025 13:00:00;23.03.2025 14:00:00;6;0;495;2922;6;;1217;4646
23.03.2025 14:00:00;23.03.2025 15:00:00;8;0;499;3062;5;;1202;4776
23.03.2025 15:00:00;23.03.2025 16:00:00;8;0;509;3316;5;;1191;5029
23.03.2025 16:00:00;23.03.2025 17:00:00;8;0;526;3774;5;;1193;5506
23.03.2025 17:00:00;23.03.2025 18:00:00;7;0;560;5152;6;;1158;6883
23.03.2025 18:00:00;23.03.2025 19:00:00;8;1;567;5814;6;;1090;7486
23.03.2025 19:00:00;23.03.2025 20:00:00;10;1;572;5935;6;;1056;7580
23.03.2025 20:00:00;23.03.2025 21:00:00;7;1;575;5919;6;;1082;7590
23.03.2025 21:00:00;23.03.2025 22:00:00;0;1;579;5390;5;;1097;7072
23.03.2025 22:00:00;23.03.2025 23:00:00;0;1;581;5171;5;;1033;6791
23.03.2025 23:00:00;24.03.2025 00:00:00;9;1;590;5104;5;;966;6675
24.03.2025 00:00:00;24.03.2025 01:00:00;3;1;563;5438;5;;908;6918
24.03.2025 01:00:00;24.03.2025 02:00:00;0;1;563;5354;6;;843;6767
24.03.2025 02:00:00;24.03.2025 03:00:00;6;1;561;5603;5;;695;6871
24.03.2025 03:00:00;24.03.2025 04:00:00;8;1;559;5965;5;;593;7131
24.03.2025 04:00:00;24.03.2025 05:00:00;10;72;560;6329;5;;483;7459
24.03.2025 05:00:00;24.03.2025 06:00:00;8;217;561;6493;5;;393;7677
24.03.2025 06:00:00;24.03.2025 07:00:00;6;419;597;7337;5;;306;8670
24.03.2025 07:00:00;24.03.2025 08:00:00;6;484;601;7794;5;;237;9127
24.03.2025 08:00:00;24.03.2025 09:00:00;7;477;621;7871;5;;163;9144
24.03.2025 09:00:00;24.03.2025 10:00:00;7;363;642;7735;5;;127;8879
24.03.2025 10:00:00;24.03.2025 11:00:00;11;320;651;6421;5;;144;7552
24.03.2025 11:00:00;24.03.2025 12:00:00;0;181;659;6149;6;;193;7188
24.03.2025 12:00:00;24.03.2025 13:00:00;11;224;654;6649;5;;256;7799
24.03.2025 13:00:00;24.03.2025 14:00:00;10;212;656;6592;5;;286;7761
24.03.2025 14:00:00;24.03.2025 15:00:00;9;205;662;6552;5;;266;7699
24.03.2025 15:00:00;24.03.2025 16:00:00;13;209;664;6697;5;;252;7840
24.03.2025 16:00:00;24.03.2025 17:00:00;11;377;677;7616;5;;231;8917
24.03.2025 17:00:00;24.03.2025 18:00:00;13;471;696;7685;5;;192;9062
24.03.2025 18:00:00;24.03.2025 19:00:00;11;490;695;7836;5;;193;9230
24.03.2025 19:00:00;24.03.2025 20:00:00;11;478;695;7838;6;;223;9251
24.03.2025 20:00:00;24.03.2025 21:00:00;9;453;690;7230;6;;293;8681
24.03.2025 21:00:00;24.03.2025 22:00:00;10;145;698;6605;5;;408;7871
24.03.2025 22:00:00;24.03.2025 23:00:00;10;137;693;6105;6;;423;7374
24.03.2025 23:00:00;25.03.2025 00:00:00;12;137;691;5445;5;;449;6739
25.03.2025 00:00:00;25.03.2025 01:00:00;10;146;715;4877;5;;525;6278
25.03.2025 01:00:00;25.03.2025 02:00:00;11;147;721;4847;5;;436;6167
25.03.2025 02:00:00;25.03.2025 03:00:00;12;156;723;5054;5;;350;6300
25.03.2025 03:00:00;25.03.2025 04:00:00;12;156;731;5118;5;;299;6321
25.03.2025 04:00:00;25.03.2025 05:00:00;10;156;735;5176;5;;288;6370
25.03.2025 05:00:00;25.03.2025 06:00:00;11;156;733;5369;5;;296;6570
25.03.2025 06:00:00;25.03.2025 07:00:00;12;149;743;6177;6;;302;7389
25.03.2025 07:00:00;25.03.2025 08:00:00;14;298;748;7069;5;;362;8496
25.03.2025 08:00:00;25.03.2025 09:00:00;14;324;755;7374;5;;296;8768
25.03.2025 09:00:00;25.03.2025 10:00:00;14;295;751;7192;5;;250;8507
25.03.2025 10:00:00;25.03.2025 11:00:00;14;163;759;6836;5;;290;8067
25.03.2025 11:00:00;25.03.2025 12:00:00;14;179;763;6446;5;;393;7800
25.03.2025 12:00:00;25.03.2025 13:00:00;14;171;752;5958;5;;511;7411
25.03.2025 13:00:00;25.03.2025 14:00:00;14;152;760;5442;5;;680;7053
25.03.2025 14:00:00;25.03.2025 15:00:00;14;141;768;5455;5;;854;7237
25.03.2025 15:00:00;25.03.2025 16:00:00;14;144;770;6151;5;;914;7998
25.03.2025 16:00:00;25.03.2025 17:00:00;14;144;770;6154;5;;910;7997
25.03.2025 17:00:00;25.03.2025 18:00:00;13;182;777;6999;5;;881;8857
25.03.2025 18:00:00;25.03.2025 19:00:00;11;322;774;7373;5;;790;9275
25.03.2025 19:00:00;25.03.2025 20:00:00;11;83;775;6972;5;;687;8533
25.03.2025 20:00:00;25.03.2025 21:00:00;9;83;774;6607;5;;840;8318
25.03.2025 21:00:00;25.03.2025 22:00:00;8;72;776;6415;5;;871;8147
25.03.2025 22:00:00;25.03.2025 23:00:00;7;72;781;5903;5;;731;7499
25.03.2025 23:00:00;26.03.2025 00:00:00;9;72;771;5546;5;;643;7046
26.03.2025 00:00:00;26.03.2025 01:00:00;10;82;741;5501;5;;549;6888
26.03.2025 01:00:00;26.03.2025 02:00:00;11;82;738;5346;5;;543;6725
26.03.2025 02:00:00;26.03.2025 03:00:00;14;82;734;5384;5;;429;6648
26.03.2025 03:00:00;26.03.2025 04:00:00;14;82;730;5350;5;;401;6582
26.03.2025 04:00:00;26.03.2025 05:00:00;14;95;725;5441;5;;294;6574
26.03.2025 05:00:00;26.03.2025 06:00:00;14;89;724;6073;5;;261;7166
26.03.2025 06:00:00;26.03.2025 07:00:00;14;96;728;7030;5;;178;8051
26.03.2025 07:00:00;26.03.2025 08:00:00;14;338;727;7142;5;;106;8332
26.03.2025 08:00:00;26.03.2025 09:00:00;14;332;704;7035;5;;95;8185
26.03.2025 09:00:00;26.03.2025 10:00:00;14;97;699;6773;5;;62;7650
26.03.2025 10:00:00;26.03.2025 11:00:00;14;73;699;6625;4;;66;7481
26.03.2025 11:00:00;26.03.2025 12:00:00;14;97;697;6435;5;;128;7376
26.03.2025 12:00:00;26.03.2025 13:00:00;14;98;674;6250;5;;155;7196
26.03.2025 13:00:00;26.03.2025 14:00:00;14;96;675;6124;5;;200;7114
26.03.2025 14:00:00;26.03.2025 15:00:00;14;95;680;6132;5;;274;7200
26.03.2025 15:00:00;26.03.2025 16:00:00;14;95;696;6293;5;;269;7372
26.03.2025 16:00:00;26.03.2025 17:00:00;14;96;715;6263;5;;198;7291
26.03.2025 17:00:00;26.03.2025 18:00:00;14;318;742;7132;5;;127;8338
26.03.2025 18:00:00;26.03.2025 19:00:00;14;381;755;7428;5;;88;8671
26.03.2025 19:00:00;26.03.2025 20:00:00;14;368;762;7667;5;;154;8970
26.03.2025 20:00:00;26.03.2025 21:00:00;14;334;757;7433;5;;286;8829
26.03.2025 21:00:00;26.03.2025 22:00:00;14;310;738;7042;5;;385;8494
26.03.2025 22:00:00;26.03.2025 23:00:00;14;92;731;6325;5;;357;7524
26.03.2025 23:00:00;27.03.2025 00:00:00;14;75;724;5613;5;;321;6752
27.03.2025 00:00:00;27.03.2025 01:00:00;14;2;724;5245;5;;323;6313
27.03.2025 01:00:00;27.03.2025 02:00:00;14;1;704;4837;5;;302;5863
27.03.2025 02:00:00;27.03.2025 03:00:00;14;1;695;4811;5;;285;5811
27.03.2025 03:00:00;27.03.2025 04:00:00;14;1;690;5023;4;;271;6003
27.03.2025 04:00:00;27.03.2025 05:00:00;14;1;691;4957;4;;284;5951
27.03.2025 05:00:00;27.03.2025 06:00:00;14;1;696;4945;5;;244;5905
27.03.2025 06:00:00;27.03.2025 07:00:00;14;6;716;5936;5;;204;6881
27.03.2025 07:00:00;27.03.2025 08:00:00;14;281;717;6748;5;;170;7935
27.03.2025 08:00:00;27.03.2025 09:00:00;14;295;718;6835;4;;159;8025
27.03.2025 09:00:00;27.03.2025 10:00:00;14;97;727;6336;4;;185;7363
27.03.2025 10:00:00;27.03.2025 11:00:00;14;74;737;5800;5;;178;6808
27.03.2025 11:00:00;27.03.2025 12:00:00;14;73;732;4477;5;;177;5478
27.03.2025 12:00:00;27.03.2025 13:00:00;14;2;727;3707;5;;154;4609
27.03.2025 13:00:00;27.03.2025 14:00:00;14;1;722;3622;5;;132;4496
27.03.2025 14:00:00;27.03.2025 15:00:00;14;8;720;4231;4;;126;5103
27.03.2025 15:00:00;27.03.2025 16:00:00;14;92;730;5194;4;;180;6214
27.03.2025 16:00:00;27.03.2025 17:00:00;14;159;739;5545;5;;205;6667
27.03.2025 17:00:00;27.03.2025 18:00:00;14;180;742;5865;5;;259;7065
27.03.2025 18:00:00;27.03.2025 19:00:00;14;173;740;5999;5;;302;7233
27.03.2025 19:00:00;27.03.2025 20:00:00;14;5;746;6318;5;;398;7486
27.03.2025 20:00:00;27.03.2025 21:00:00;14;1;755;5903;5;;538;7216
27.03.2025 21:00:00;27.03.2025 22:00:00;14;1;764;5299;5;;658;6741
27.03.2025 22:00:00;27.03.2025 23:00:00;14;1;769;4894;5;;741;6424
27.03.2025 23:00:00;28.03.2025 00:00:00;14;1;772;4434;5;;779;6005
28.03.2025 00:00:00;28.03.2025 01:00:00;14;1;777;4517;5;;899;6213
28.03.2025 01:00:00;28.03.2025 02:00:00;14;1;787;4018;5;;1089;5914
28.03.2025 02:00:00;28.03.2025 03:00:00;14;1;793;3792;5;;1164;5769
28.03.2025 03:00:00;28.03.2025 04:00:00;14;1;800;3736;5;;1145;5701
28.03.2025 04:00:00;28.03.2025 05:00:00;14;1;802;3995;5;;1109;5926
28.03.2025 05:00:00;28.03.2025 06:00:00;14;1;804;4211;5;;1155;6190
28.03.2025 06:00:00;28.03.2025 07:00:00;14;1;813;4598;6;;1107;6539
28.03.2025 07:00:00;28.03.2025 08:00:00;14;1;818;4676;5;;1019;6533
28.03.2025 08:00:00;28.03.2025 09:00:00;13;1;814;4451;5;;944;6228
28.03.2025 09:00:00;28.03.2025 10:00:00;13;0;820;3607;5;;854;5299
28.03.2025 10:00:00;28.03.2025 11:00:00;10;0;843;2894;5;;747;4499
28.03.2025 11:00:00;28.03.2025 12:00:00;9;0;845;2586;5;;663;4108
28.03.2025 12:00:00;28.03.2025 13:00:00;7;0;842;2632;5;;579;4065
28.03.2025 13:00:00;28.03.2025 14:00:00;6;0;847;2721;5;;508;4087
28.03.2025 14:00:00;28.03.2025 15:00:00;5;0;846;3256;5;;528;4640
28.03.2025 15:00:00;28.03.2025 16:00:00;6;0;854;3723;6;;538;5127
28.03.2025 16:00:00;28.03.2025 17:00:00;5;0;859;4707;5;;589;6165
28.03.2025 17:00:00;28.03.2025 18:00:00;6;0;870;5157;5;;649;6687
28.03.2025 18:00:00;28.03.2025 19:00:00;3;0;881;6138;5;;739;7766
28.03.2025 19:00:00;28.03.2025 20:00:00;5;0;887;5528;5;;668;7093
28.03.2025 20:00:00;28.03.2025 21:00:00;5;0;884;5184;5;;621;6699
28.03.2025 21:00:00;28.03.2025 22:00:00;5;0;875;5081;5;;613;6579
28.03.2025 22:00:00;28.03.2025 23:00:00;9;0;873;4999;5;;612;6498
28.03.2025 23:00:00;29.03.2025 00:00:00;8;0;869;5032;6;;624;6539
29.03.2025 00:00:00;29.03.2025 01:00:00;7;0;883;4947;5;;669;6511
29.03.2025 01:00:00;29.03.2025 02:00:00;9;0;876;4980;5;;706;6576
29.03.2025 02:00:00;29.03.2025 03:00:00;8;0;874;5218;5;;636;6741
29.03.2025 03:00:00;29.03.2025 04:00:00;10;0;871;4904;5;;743;6533
29.03.2025 04:00:00;29.03.2025 05:00:00;9;0;865;4651;5;;732;6262
29.03.2025 05:00:00;29.03.2025 06:00:00;10;0;863;4757;5;;729;6364
29.03.2025 06:00:00;29.03.2025 07:00:00;7;0;860;4800;5;;652;6324
29.03.2025 07:00:00;29.03.2025 08:00:00;9;0;854;5159;5;;589;6616
29.03.2025 08:00:00;29.03.2025 09:00:00;10;0;842;5295;5;;459;6611
29.03.2025 09:00:00;29.03.2025 10:00:00;8;0;837;5154;5;;495;6499
29.03.2025 10:00:00;29.03.2025 11:00:00;4;0;840;4643;5;;549;6041
29.03.2025 11:00:00;29.03.2025 12:00:00;0;0;839;4199;5;;577;5620
29.03.2025 12:00:00;29.03.2025 13:00:00;8;0;827;3732;5;;503;5075
29.03.2025 13:00:00;29.03.2025 14:00:00;10;0;825;2825;5;;518;4183
29.03.2025 14:00:00;29.03.2025 15:00:00;9;0;819;2515;5;;448;3796
29.03.2025 15:00:00;29.03.2025 16:00:00;14;0;811;2939;5;;441;4210
29.03.2025 16:00:00;29.03.2025 17:00:00;14;0;812;4369;5;;364;5564
29.03.2025 17:00:00;29.03.2025 18:00:00;14;0;808;5940;5;;266;7033
29.03.2025 18:00:00;29.03.2025 19:00:00;14;1;811;6925;5;;426;8182
29.03.2025 19:00:00;29.03.2025 20:00:00;14;1;809;6834;5;;698;8361
29.03.2025 20:00:00;29.03.2025 21:00:00;14;1;802;6415;5;;961;8198
29.03.2025 21:00:00;29.03.2025 22:00:00;12;0;802;5701;5;;1112;7632
29.03.2025 22:00:00;29.03.2025 23:00:00;10;0;803;5331;5;;1168;7317
29.03.2025 23:00:00;30.03.2025 00:00:00;10;0;802;4562;5;;1136;6515
30.03.2025 00:00:00;30.03.2025 01:00:00;8;0;811;3244;5;;1157;5225
30.03.2025 01:00:00;30.03.2025 03:00:00;12;0;807;2487;5;;1089;4400
30.03.2025 03:00:00;30.03.2025 04:00:00;14;0;791;2277;5;;826;3913
30.03.2025 04:00:00;30.03.2025 05:00:00;12;0;797;2182;5;;431;3427
30.03.2025 05:00:00;30.03.2025 06:00:00;2;0;783;1527;6;;174;2492
30.03.2025 06:00:00;30.03.2025 07:00:00;9;0;762;1326;5;;126;2228
30.03.2025 07:00:00;30.03.2025 08:00:00;2;0;758;1379;5;;152;2296
30.03.2025 08:00:00;30.03.2025 09:00:00;10;0;747;1531;5;;132;2425
30.03.2025 09:00:00;30.03.2025 10:00:00;2;0;735;1391;5;;144;2277
