y_true,y_hat,spread
down,down,13.379999999999995
down,down,11.200000000000003
down,down,11.949999999999996
down,down,8.329999999999998
down,down,7.539999999999999
down,down,7.430000000000007
down,down,7.280000000000008
down,down,6.920000000000009
down,down,6.780000000000001
down,down,6.68
down,down,6.240000000000002
down,down,6.579999999999998
down,down,6.380000000000003
down,down,5.939999999999998
down,down,10.729999999999997
down,down,10.799999999999997
down,down,11.129999999999995
down,down,11.900000000000006
down,down,13.550000000000004
down,down,12.549999999999997
down,down,13.780000000000001
down,down,13.809999999999995
down,down,13.260000000000005
down,down,13.669999999999995
down,down,11.450000000000003
down,down,14.96
down,down,6.410000000000004
down,down,5.429999999999993
down,down,3.3599999999999994
down,down,4.130000000000003
down,down,4.350000000000001
down,down,7.140000000000001
down,down,7.039999999999999
down,down,9.740000000000009
down,down,6.640000000000001
down,down,8.14
down,down,6.079999999999998
down,down,6.030000000000001
down,down,4.960000000000001
down,down,4.93
down,down,6.75
down,down,6.700000000000003
down,down,6.530000000000001
down,down,6.340000000000003
down,down,6.100000000000001
down,down,5.649999999999999
down,down,7.730000000000004
down,down,8.780000000000001
down,down,16.539999999999992
down,down,-7.310000000000002
down,down,-18.599999999999994
down,down,36.42
down,down,9.700000000000003
down,down,15.0
down,down,8.969999999999999
down,down,7.410000000000004
down,down,-12.790000000000006
down,down,9.980000000000004
down,down,7.140000000000001
down,down,13.139999999999993
down,down,12.830000000000005
down,down,13.450000000000003
down,down,12.090000000000003
down,down,10.260000000000005
down,down,4.299999999999997
down,down,6.150000000000006
down,down,6.200000000000003
down,down,6.890000000000001
down,down,47.870000000000005
down,down,5.850000000000001
down,down,18.71
down,down,6.880000000000003
down,down,10.079999999999998
down,down,10.269999999999996
down,down,15.030000000000001
down,down,84.65
down,down,138.56
down,down,88.35
down,down,-81.45
down,down,3.25
down,down,10.280000000000001
down,down,10.64
down,down,7.569999999999993
down,down,104.5
down,down,6.799999999999997
down,down,6.739999999999995
down,down,6.829999999999998
down,down,19.650000000000006
down,down,9.450000000000003
down,down,6.3700000000000045
down,down,5.049999999999997
down,down,4.659999999999997
up,up,14.559999999999995
up,up,9.909999999999997
up,up,9.939999999999998
up,up,9.990000000000002
up,up,9.979999999999997
up,up,9.920000000000002
up,up,9.64
up,up,9.780000000000001
up,up,9.560000000000002
up,up,8.280000000000001
down,down,13.43
down,down,8.100000000000001
down,down,9.169999999999995
down,down,12.779999999999994
down,down,-6.640000000000001
down,down,8.290000000000006
down,down,6.1299999999999955
down,down,5.969999999999992
down,down,57.629999999999995
down,down,7.519999999999996
down,down,7.949999999999996
down,down,8.230000000000004
down,down,39.650000000000006
down,down,5.290000000000006
down,down,5.979999999999997
down,down,6.159999999999997
down,down,5.279999999999994
up,up,21.189999999999998
down,down,0.20000000000000284
down,down,5.740000000000009
down,down,8.14
down,down,6.739999999999995
down,down,6.519999999999996
down,down,6.810000000000002
down,down,8.239999999999995
down,down,7.080000000000005
down,down,6.840000000000003
down,down,8.059999999999995
down,down,7.3799999999999955
down,down,6.969999999999999
down,down,5.599999999999994
down,down,5.600000000000001
down,down,4.299999999999997
down,down,3.8299999999999983
down,down,3.4299999999999997
down,down,4.07
down,down,3.980000000000004
down,down,3.780000000000001
down,down,6.619999999999997
down,down,7.43
down,down,6.630000000000003
down,down,9.799999999999997
down,down,6.700000000000003
down,down,6.460000000000001
down,down,8.739999999999995
down,down,6.640000000000001
down,down,6.600000000000001
down,down,5.299999999999997
down,down,7.329999999999998
down,down,7.530000000000001
down,down,7.170000000000002
down,down,8.280000000000001
down,down,8.030000000000001
down,down,7.979999999999997
down,down,8.659999999999997
down,down,9.119999999999997
down,down,8.71
down,down,11.29
down,down,10.089999999999996
down,down,6.799999999999997
down,down,8.060000000000002
down,down,6.059999999999995
down,down,6.590000000000003
down,down,13.880000000000003
down,down,10.900000000000006
down,down,13.159999999999997
down,down,13.89
down,down,14.280000000000001
down,down,59.599999999999994
down,down,2.9299999999999997
down,down,6.280000000000001
down,down,4.920000000000002
down,down,6.200000000000003
down,down,6.170000000000002
down,down,7.399999999999999
down,down,7.829999999999998
down,down,17.990000000000002
down,down,13.68
down,down,10.490000000000002
down,down,10.790000000000006
down,down,16.839999999999996
down,down,13.54
down,down,11.32
down,down,-2.3300000000000125
down,down,11.479999999999997
down,down,5.960000000000001
down,down,2.049999999999997
down,down,3.8599999999999994
down,down,-1.8500000000000085
down,down,5.920000000000002
down,down,4.5
down,down,4.469999999999999
down,down,3.6599999999999966
down,down,7.100000000000001
down,down,8.509999999999998
down,down,10.79
down,down,9.950000000000003
down,down,8.240000000000002
down,down,7.600000000000001
