Delivery Start (CET);Delivery End (CET);NO1 Biomass (MW);NO1 Fossil Gas (MW);NO1 Hydro Run Of River And Poundage (MW);NO1 Hydro Water Reservoir (MW);NO1 Solar (MW);NO1 Waste (MW);NO1 Wind Onshore (MW);NO1 Total (MW)
02.02.2024 20:00:00;02.02.2024 21:00:00;0;0;1077;442;;15;289;1823
02.02.2024 21:00:00;02.02.2024 22:00:00;0;0;1064;378;;15;291;1748
02.02.2024 22:00:00;02.02.2024 23:00:00;0;0;1056;282;;15;291;1644
02.02.2024 23:00:00;03.02.2024 00:00:00;0;0;1047;268;;15;294;1624
03.02.2024 00:00:00;03.02.2024 01:00:00;0;0;1042;168;;16;295;1521
03.02.2024 01:00:00;03.02.2024 02:00:00;0;0;1049;137;;15;306;1507
03.02.2024 02:00:00;03.02.2024 03:00:00;0;0;1055;139;;15;289;1498
03.02.2024 03:00:00;03.02.2024 04:00:00;0;0;1016;135;;15;299;1465
03.02.2024 04:00:00;03.02.2024 05:00:00;0;0;1063;135;;16;286;1500
03.02.2024 05:00:00;03.02.2024 06:00:00;0;0;1063;182;;16;283;1544
03.02.2024 06:00:00;03.02.2024 07:00:00;0;0;1060;194;;16;293;1563
03.02.2024 07:00:00;03.02.2024 08:00:00;0;0;1058;205;;16;253;1532
03.02.2024 08:00:00;03.02.2024 09:00:00;0;0;1063;218;;16;216;1513
03.02.2024 09:00:00;03.02.2024 10:00:00;0;0;1041;352;;16;256;1665
03.02.2024 10:00:00;03.02.2024 11:00:00;0;0;1070;297;;16;255;1638
03.02.2024 11:00:00;03.02.2024 12:00:00;0;0;1041;305;;16;288;1650
03.02.2024 12:00:00;03.02.2024 13:00:00;0;0;1050;286;;16;291;1643
03.02.2024 13:00:00;03.02.2024 14:00:00;0;0;1006;248;;16;306;1576
03.02.2024 14:00:00;03.02.2024 15:00:00;0;0;1002;262;;16;304;1584
03.02.2024 15:00:00;03.02.2024 16:00:00;0;0;1010;327;;16;297;1650
03.02.2024 16:00:00;03.02.2024 17:00:00;0;0;1012;370;;16;299;1697
03.02.2024 17:00:00;03.02.2024 18:00:00;0;0;1026;531;;16;306;1879
03.02.2024 18:00:00;03.02.2024 19:00:00;0;0;1023;559;;17;308;1907
03.02.2024 19:00:00;03.02.2024 20:00:00;0;0;1001;535;;16;310;1862
03.02.2024 20:00:00;03.02.2024 21:00:00;0;0;993;511;;18;314;1836
03.02.2024 21:00:00;03.02.2024 22:00:00;0;0;996;402;;17;317;1732
03.02.2024 22:00:00;03.02.2024 23:00:00;0;0;995;328;;16;315;1654
03.02.2024 23:00:00;04.02.2024 00:00:00;0;0;977;227;;16;301;1521
04.02.2024 00:00:00;04.02.2024 01:00:00;0;0;995;140;;16;306;1457
04.02.2024 01:00:00;04.02.2024 02:00:00;0;0;969;142;;16;303;1430
04.02.2024 02:00:00;04.02.2024 03:00:00;0;0;966;140;;16;304;1426
04.02.2024 03:00:00;04.02.2024 04:00:00;0;0;941;130;;16;164;1251
04.02.2024 04:00:00;04.02.2024 05:00:00;0;0;939;135;;16;139;1229
04.02.2024 05:00:00;04.02.2024 06:00:00;0;0;934;142;;16;115;1207
04.02.2024 06:00:00;04.02.2024 07:00:00;0;0;938;149;;16;70;1173
04.02.2024 07:00:00;04.02.2024 08:00:00;0;0;939;135;;16;177;1267
04.02.2024 08:00:00;04.02.2024 09:00:00;0;0;946;137;;16;180;1279
04.02.2024 09:00:00;04.02.2024 10:00:00;0;0;952;136;;16;166;1270
04.02.2024 10:00:00;04.02.2024 11:00:00;0;0;959;170;;16;119;1264
04.02.2024 11:00:00;04.02.2024 12:00:00;0;0;951;204;;15;108;1278
04.02.2024 12:00:00;04.02.2024 13:00:00;0;0;933;209;;16;86;1244
04.02.2024 13:00:00;04.02.2024 14:00:00;0;0;930;213;;16;105;1264
04.02.2024 14:00:00;04.02.2024 15:00:00;0;0;921;230;;16;74;1241
04.02.2024 15:00:00;04.02.2024 16:00:00;0;0;917;207;;16;88;1228
04.02.2024 16:00:00;04.02.2024 17:00:00;0;0;939;228;;16;128;1311
04.02.2024 17:00:00;04.02.2024 18:00:00;0;0;930;231;;15;195;1371
04.02.2024 18:00:00;04.02.2024 19:00:00;0;0;936;248;;15;249;1448
04.02.2024 19:00:00;04.02.2024 20:00:00;0;0;950;246;;15;254;1465
04.02.2024 20:00:00;04.02.2024 21:00:00;0;0;955;207;;15;266;1443
04.02.2024 21:00:00;04.02.2024 22:00:00;0;0;933;217;;16;247;1413
04.02.2024 22:00:00;04.02.2024 23:00:00;0;0;929;195;;16;248;1388
04.02.2024 23:00:00;05.02.2024 00:00:00;0;0;916;179;;16;253;1364
05.02.2024 00:00:00;05.02.2024 01:00:00;0;0;952;169;;16;279;1416
05.02.2024 01:00:00;05.02.2024 02:00:00;0;0;914;140;;16;276;1346
05.02.2024 02:00:00;05.02.2024 03:00:00;0;0;903;137;;16;242;1298
05.02.2024 03:00:00;05.02.2024 04:00:00;0;0;903;140;;16;212;1271
05.02.2024 04:00:00;05.02.2024 05:00:00;0;0;925;140;;16;178;1259
05.02.2024 05:00:00;05.02.2024 06:00:00;0;0;923;273;;16;130;1342
05.02.2024 06:00:00;05.02.2024 07:00:00;0;0;942;456;;16;118;1532
05.02.2024 07:00:00;05.02.2024 08:00:00;0;0;969;738;;16;148;1871
05.02.2024 08:00:00;05.02.2024 09:00:00;0;0;995;868;;16;152;2031
05.02.2024 09:00:00;05.02.2024 10:00:00;0;0;998;826;;17;104;1945
05.02.2024 10:00:00;05.02.2024 11:00:00;0;0;983;711;;17;116;1827
05.02.2024 11:00:00;05.02.2024 12:00:00;0;0;977;629;;16;104;1726
05.02.2024 12:00:00;05.02.2024 13:00:00;0;0;979;543;;17;65;1604
05.02.2024 13:00:00;05.02.2024 14:00:00;0;0;997;517;;17;34;1565
05.02.2024 14:00:00;05.02.2024 15:00:00;0;0;996;570;;17;24;1607
05.02.2024 15:00:00;05.02.2024 16:00:00;0;0;1005;576;;16;25;1622
05.02.2024 16:00:00;05.02.2024 17:00:00;0;0;1029;715;;15;38;1797
05.02.2024 17:00:00;05.02.2024 18:00:00;0;0;1051;897;;15;45;2008
05.02.2024 18:00:00;05.02.2024 19:00:00;0;0;1029;939;;15;53;2036
05.02.2024 19:00:00;05.02.2024 20:00:00;0;0;1041;810;;15;57;1923
05.02.2024 20:00:00;05.02.2024 21:00:00;0;0;1034;810;;15;48;1907
05.02.2024 21:00:00;05.02.2024 22:00:00;0;0;1016;701;;16;50;1783
05.02.2024 22:00:00;05.02.2024 23:00:00;0;0;1022;785;;16;60;1883
05.02.2024 23:00:00;06.02.2024 00:00:00;0;0;1022;651;;16;42;1731
06.02.2024 00:00:00;06.02.2024 01:00:00;0;0;1013;369;;16;17;1415
06.02.2024 01:00:00;06.02.2024 02:00:00;0;0;997;313;;17;9;1336
06.02.2024 02:00:00;06.02.2024 03:00:00;0;0;1010;308;;17;4;1339
06.02.2024 03:00:00;06.02.2024 04:00:00;0;0;1004;310;;18;4;1336
06.02.2024 04:00:00;06.02.2024 05:00:00;0;0;1003;482;;17;5;1507
06.02.2024 05:00:00;06.02.2024 06:00:00;0;0;1011;582;;17;5;1615
06.02.2024 06:00:00;06.02.2024 07:00:00;0;0;1020;812;;17;9;1858
06.02.2024 07:00:00;06.02.2024 08:00:00;0;0;1032;960;;16;14;2022
06.02.2024 08:00:00;06.02.2024 09:00:00;0;0;1027;912;;17;34;1990
06.02.2024 09:00:00;06.02.2024 10:00:00;0;0;1022;859;;16;50;1947
06.02.2024 10:00:00;06.02.2024 11:00:00;0;0;1024;844;;16;86;1970
06.02.2024 11:00:00;06.02.2024 12:00:00;0;0;1030;824;;16;83;1953
06.02.2024 12:00:00;06.02.2024 13:00:00;0;0;1043;683;;16;92;1834
06.02.2024 13:00:00;06.02.2024 14:00:00;0;0;1040;661;;15;90;1806
06.02.2024 14:00:00;06.02.2024 15:00:00;0;0;1038;748;;16;92;1894
06.02.2024 15:00:00;06.02.2024 16:00:00;0;0;1042;680;;15;111;1848
06.02.2024 16:00:00;06.02.2024 17:00:00;0;0;1040;815;;15;127;1997
06.02.2024 17:00:00;06.02.2024 18:00:00;0;0;1041;804;;15;140;2000
06.02.2024 18:00:00;06.02.2024 19:00:00;0;0;1036;905;;15;140;2096
06.02.2024 19:00:00;06.02.2024 20:00:00;0;0;1043;880;;15;142;2080
06.02.2024 20:00:00;06.02.2024 21:00:00;0;0;1042;716;;16;142;1916
06.02.2024 21:00:00;06.02.2024 22:00:00;0;0;1038;613;;16;129;1796
06.02.2024 22:00:00;06.02.2024 23:00:00;0;0;1035;552;;16;95;1698
06.02.2024 23:00:00;07.02.2024 00:00:00;0;0;1025;513;;17;86;1641
07.02.2024 00:00:00;07.02.2024 01:00:00;0;0;1037;572;;17;80;1706
07.02.2024 01:00:00;07.02.2024 02:00:00;0;0;1027;572;;17;67;1683
07.02.2024 02:00:00;07.02.2024 03:00:00;0;0;1028;537;;17;59;1641
07.02.2024 03:00:00;07.02.2024 04:00:00;0;0;1029;545;;17;44;1635
07.02.2024 04:00:00;07.02.2024 05:00:00;0;0;1029;595;;17;38;1679
07.02.2024 05:00:00;07.02.2024 06:00:00;0;0;1038;592;;18;40;1688
07.02.2024 06:00:00;07.02.2024 07:00:00;0;0;1046;841;;19;24;1930
07.02.2024 07:00:00;07.02.2024 08:00:00;0;0;1064;898;;19;19;2000
07.02.2024 08:00:00;07.02.2024 09:00:00;0;0;1062;925;;18;7;2012
07.02.2024 09:00:00;07.02.2024 10:00:00;0;0;1059;966;;16;4;2045
07.02.2024 10:00:00;07.02.2024 11:00:00;0;0;1057;996;;16;1;2070
07.02.2024 11:00:00;07.02.2024 12:00:00;0;0;1044;993;;16;1;2054
07.02.2024 12:00:00;07.02.2024 13:00:00;0;0;1054;868;;16;0;1938
07.02.2024 13:00:00;07.02.2024 14:00:00;0;0;1060;903;;16;0;1979
07.02.2024 14:00:00;07.02.2024 15:00:00;0;0;1068;937;;16;0;2021
07.02.2024 15:00:00;07.02.2024 16:00:00;0;0;1074;945;;15;0;2034
07.02.2024 16:00:00;07.02.2024 17:00:00;0;0;1082;1011;;14;0;2107
07.02.2024 17:00:00;07.02.2024 18:00:00;0;0;1075;1061;;14;1;2151
07.02.2024 18:00:00;07.02.2024 19:00:00;0;0;1075;998;;16;1;2090
07.02.2024 19:00:00;07.02.2024 20:00:00;0;0;1073;978;;14;0;2065
07.02.2024 20:00:00;07.02.2024 21:00:00;0;0;1077;964;;14;1;2056
07.02.2024 21:00:00;07.02.2024 22:00:00;0;0;1071;965;;14;2;2052
07.02.2024 22:00:00;07.02.2024 23:00:00;0;0;1064;1008;;15;2;2089
07.02.2024 23:00:00;08.02.2024 00:00:00;0;0;1059;942;;15;0;2016
08.02.2024 00:00:00;08.02.2024 01:00:00;0;0;1054;928;;16;1;1999
08.02.2024 01:00:00;08.02.2024 02:00:00;0;0;1045;879;;16;5;1945
08.02.2024 02:00:00;08.02.2024 03:00:00;0;0;1059;871;;16;6;1952
08.02.2024 03:00:00;08.02.2024 04:00:00;0;0;1052;847;;16;3;1918
08.02.2024 04:00:00;08.02.2024 05:00:00;0;0;1048;877;;16;3;1944
08.02.2024 05:00:00;08.02.2024 06:00:00;0;0;1056;895;;16;5;1972
08.02.2024 06:00:00;08.02.2024 07:00:00;0;0;1066;965;;16;5;2052
08.02.2024 07:00:00;08.02.2024 08:00:00;0;0;1062;921;;16;5;2004
08.02.2024 08:00:00;08.02.2024 09:00:00;0;0;1060;945;;18;6;2029
08.02.2024 09:00:00;08.02.2024 10:00:00;0;0;1047;975;;17;2;2041
08.02.2024 10:00:00;08.02.2024 11:00:00;0;0;1046;996;;16;2;2060
08.02.2024 11:00:00;08.02.2024 12:00:00;0;0;1056;1013;;14;1;2084
08.02.2024 12:00:00;08.02.2024 13:00:00;0;0;1054;1037;;14;2;2107
08.02.2024 13:00:00;08.02.2024 14:00:00;0;0;1053;1014;;15;3;2085
08.02.2024 14:00:00;08.02.2024 15:00:00;0;0;1046;943;;15;4;2008
08.02.2024 15:00:00;08.02.2024 16:00:00;0;0;1068;925;;15;2;2010
08.02.2024 16:00:00;08.02.2024 17:00:00;0;0;1077;992;;15;3;2087
08.02.2024 17:00:00;08.02.2024 18:00:00;0;0;1077;1030;;14;4;2125
08.02.2024 18:00:00;08.02.2024 19:00:00;0;0;1074;985;;14;5;2078
08.02.2024 19:00:00;08.02.2024 20:00:00;0;0;1076;982;;15;9;2082
08.02.2024 20:00:00;08.02.2024 21:00:00;0;0;1079;974;;16;16;2085
08.02.2024 21:00:00;08.02.2024 22:00:00;0;0;1070;931;;16;14;2031
08.02.2024 22:00:00;08.02.2024 23:00:00;0;0;1058;901;;17;12;1988
08.02.2024 23:00:00;09.02.2024 00:00:00;0;0;1052;833;;17;12;1914
09.02.2024 00:00:00;09.02.2024 01:00:00;0;0;1052;893;;18;15;1978
09.02.2024 01:00:00;09.02.2024 02:00:00;0;0;1041;854;;18;16;1929
09.02.2024 02:00:00;09.02.2024 03:00:00;0;0;1043;808;;19;18;1888
09.02.2024 03:00:00;09.02.2024 04:00:00;0;0;1036;711;;19;28;1794
09.02.2024 04:00:00;09.02.2024 05:00:00;0;0;1032;704;;19;26;1781
09.02.2024 05:00:00;09.02.2024 06:00:00;0;0;1033;693;;19;36;1781
09.02.2024 06:00:00;09.02.2024 07:00:00;0;0;1055;913;;19;58;2045
09.02.2024 07:00:00;09.02.2024 08:00:00;0;0;1061;996;;18;50;2125
09.02.2024 08:00:00;09.02.2024 09:00:00;0;0;1063;1008;;16;53;2140
09.02.2024 09:00:00;09.02.2024 10:00:00;0;0;1074;1005;;16;43;2138
09.02.2024 10:00:00;09.02.2024 11:00:00;0;0;1078;1023;;15;51;2167
09.02.2024 11:00:00;09.02.2024 12:00:00;0;0;1069;1019;;15;64;2167
09.02.2024 12:00:00;09.02.2024 13:00:00;0;0;1074;933;;15;50;2072
09.02.2024 13:00:00;09.02.2024 14:00:00;0;0;1084;996;;15;45;2140
09.02.2024 14:00:00;09.02.2024 15:00:00;0;0;1091;998;;15;48;2152
09.02.2024 15:00:00;09.02.2024 16:00:00;0;0;1091;981;;14;52;2138
09.02.2024 16:00:00;09.02.2024 17:00:00;0;0;1090;912;;14;50;2066
09.02.2024 17:00:00;09.02.2024 18:00:00;0;0;1092;975;;14;57;2138
09.02.2024 18:00:00;09.02.2024 19:00:00;0;0;1092;990;;14;85;2181
09.02.2024 19:00:00;09.02.2024 20:00:00;0;0;1092;969;;15;84;2160
09.02.2024 20:00:00;09.02.2024 21:00:00;0;0;1084;871;;12;86;2053
09.02.2024 21:00:00;09.02.2024 22:00:00;0;0;1096;797;;16;109;2018
09.02.2024 22:00:00;09.02.2024 23:00:00;0;0;1091;817;;16;112;2036
09.02.2024 23:00:00;10.02.2024 00:00:00;0;0;1080;805;;16;118;2019
10.02.2024 00:00:00;10.02.2024 01:00:00;0;0;1043;902;;17;116;2078
10.02.2024 01:00:00;10.02.2024 02:00:00;0;0;936;839;;17;120;1912
10.02.2024 02:00:00;10.02.2024 03:00:00;0;0;992;821;;17;134;1964
10.02.2024 03:00:00;10.02.2024 04:00:00;0;0;1062;815;;17;115;2009
10.02.2024 04:00:00;10.02.2024 05:00:00;0;0;1068;814;;17;130;2029
10.02.2024 05:00:00;10.02.2024 06:00:00;0;0;1063;877;;17;160;2117
10.02.2024 06:00:00;10.02.2024 07:00:00;0;0;1069;888;;17;176;2150
10.02.2024 07:00:00;10.02.2024 08:00:00;0;0;1060;1011;;17;167;2255
10.02.2024 08:00:00;10.02.2024 09:00:00;0;0;1059;1009;;17;154;2239
10.02.2024 09:00:00;10.02.2024 10:00:00;0;0;1067;1040;;17;157;2281
10.02.2024 10:00:00;10.02.2024 11:00:00;0;0;1056;1036;;15;150;2257
10.02.2024 11:00:00;10.02.2024 12:00:00;0;0;975;1043;;16;117;2151
10.02.2024 12:00:00;10.02.2024 13:00:00;0;0;940;1010;;16;99;2065
10.02.2024 13:00:00;10.02.2024 14:00:00;0;0;1011;970;;16;103;2100
10.02.2024 14:00:00;10.02.2024 15:00:00;0;0;996;1038;;16;93;2143
10.02.2024 15:00:00;10.02.2024 16:00:00;0;0;1001;1015;;16;115;2147
10.02.2024 16:00:00;10.02.2024 17:00:00;0;0;1067;1024;;16;139;2246
10.02.2024 17:00:00;10.02.2024 18:00:00;0;0;1070;1017;;16;162;2265
10.02.2024 18:00:00;10.02.2024 19:00:00;0;0;1069;1023;;16;187;2295
10.02.2024 19:00:00;10.02.2024 20:00:00;0;0;1065;1005;;16;194;2280
10.02.2024 20:00:00;10.02.2024 21:00:00;0;0;1066;960;;16;178;2220
10.02.2024 21:00:00;10.02.2024 22:00:00;0;0;1059;980;;17;168;2224
10.02.2024 22:00:00;10.02.2024 23:00:00;0;0;1056;896;;17;167;2136
10.02.2024 23:00:00;11.02.2024 00:00:00;0;0;1043;661;;17;157;1878
11.02.2024 00:00:00;11.02.2024 01:00:00;0;0;1048;713;;17;167;1945
11.02.2024 01:00:00;11.02.2024 02:00:00;0;0;1044;631;;17;190;1882
11.02.2024 02:00:00;11.02.2024 03:00:00;0;0;1042;526;;17;191;1776
11.02.2024 03:00:00;11.02.2024 04:00:00;0;0;1033;256;;17;193;1499
11.02.2024 04:00:00;11.02.2024 05:00:00;0;0;1033;242;;17;182;1474
11.02.2024 05:00:00;11.02.2024 06:00:00;0;0;1031;317;;17;151;1516
11.02.2024 06:00:00;11.02.2024 07:00:00;0;0;1031;364;;18;129;1542
11.02.2024 07:00:00;11.02.2024 08:00:00;0;0;1033;517;;19;139;1708
11.02.2024 08:00:00;11.02.2024 09:00:00;0;0;1034;630;;18;138;1820
11.02.2024 09:00:00;11.02.2024 10:00:00;0;0;1043;787;;18;122;1970
11.02.2024 10:00:00;11.02.2024 11:00:00;0;0;1045;916;;18;92;2071
11.02.2024 11:00:00;11.02.2024 12:00:00;0;0;1042;918;;17;71;2048
11.02.2024 12:00:00;11.02.2024 13:00:00;0;0;1036;913;;17;66;2032
11.02.2024 13:00:00;11.02.2024 14:00:00;0;0;1043;888;;17;64;2012
11.02.2024 14:00:00;11.02.2024 15:00:00;0;0;1037;905;;17;67;2026
11.02.2024 15:00:00;11.02.2024 16:00:00;0;0;1032;968;;17;79;2096
11.02.2024 16:00:00;11.02.2024 17:00:00;0;0;1040;1000;;17;92;2149
11.02.2024 17:00:00;11.02.2024 18:00:00;0;0;1040;1006;;18;105;2169
11.02.2024 18:00:00;11.02.2024 19:00:00;0;0;1042;1023;;18;134;2217
11.02.2024 19:00:00;11.02.2024 20:00:00;0;0;1044;1033;;18;165;2260
11.02.2024 20:00:00;11.02.2024 21:00:00;0;0;1046;1036;;18;183;2283
11.02.2024 21:00:00;11.02.2024 22:00:00;0;0;1047;1034;;18;188;2287
11.02.2024 22:00:00;11.02.2024 23:00:00;0;0;1047;1019;;17;196;2279
11.02.2024 23:00:00;12.02.2024 00:00:00;0;0;1040;939;;17;212;2208
12.02.2024 00:00:00;12.02.2024 01:00:00;0;0;1046;915;;18;210;2189
12.02.2024 01:00:00;12.02.2024 02:00:00;0;0;1039;882;;17;213;2151
12.02.2024 02:00:00;12.02.2024 03:00:00;0;0;1044;865;;18;226;2153
12.02.2024 03:00:00;12.02.2024 04:00:00;0;0;1036;823;;18;239;2116
12.02.2024 04:00:00;12.02.2024 05:00:00;0;0;1043;870;;18;234;2165
12.02.2024 05:00:00;12.02.2024 06:00:00;0;0;1051;908;;18;237;2214
12.02.2024 06:00:00;12.02.2024 07:00:00;0;0;1068;1032;;19;239;2358
12.02.2024 07:00:00;12.02.2024 08:00:00;0;0;1067;1035;;17;258;2377
12.02.2024 08:00:00;12.02.2024 09:00:00;0;0;1073;1041;;17;271;2402
12.02.2024 09:00:00;12.02.2024 10:00:00;0;0;1068;1067;;20;271;2426
12.02.2024 10:00:00;12.02.2024 11:00:00;0;0;1061;1060;;20;270;2411
12.02.2024 11:00:00;12.02.2024 12:00:00;0;0;1068;1032;;19;274;2393
12.02.2024 12:00:00;12.02.2024 13:00:00;0;0;1070;1034;;20;270;2394
12.02.2024 13:00:00;12.02.2024 14:00:00;0;0;1067;985;;20;273;2345
12.02.2024 14:00:00;12.02.2024 15:00:00;0;0;1077;1016;;19;260;2372
12.02.2024 15:00:00;12.02.2024 16:00:00;0;0;1078;981;;18;246;2323
12.02.2024 16:00:00;12.02.2024 17:00:00;0;0;1085;1022;;18;219;2344
12.02.2024 17:00:00;12.02.2024 18:00:00;0;0;1083;1069;;18;219;2389
12.02.2024 18:00:00;12.02.2024 19:00:00;0;0;1081;1056;;16;202;2355
12.02.2024 19:00:00;12.02.2024 20:00:00;0;0;1082;1040;;17;193;2332
12.02.2024 20:00:00;12.02.2024 21:00:00;0;0;1082;1045;;17;218;2362
12.02.2024 21:00:00;12.02.2024 22:00:00;0;0;1091;1019;;18;190;2318
12.02.2024 22:00:00;12.02.2024 23:00:00;0;0;1093;988;;18;175;2274
12.02.2024 23:00:00;13.02.2024 00:00:00;0;0;1089;957;;16;155;2217
13.02.2024 00:00:00;13.02.2024 01:00:00;0;0;1096;776;;18;147;2037
13.02.2024 01:00:00;13.02.2024 02:00:00;0;0;1088;689;;18;127;1922
13.02.2024 02:00:00;13.02.2024 03:00:00;0;0;1084;676;;18;121;1899
13.02.2024 03:00:00;13.02.2024 04:00:00;0;0;1090;663;;18;129;1900
13.02.2024 04:00:00;13.02.2024 05:00:00;0;0;1099;589;;18;117;1823
13.02.2024 05:00:00;13.02.2024 06:00:00;0;0;1099;644;;18;115;1876
13.02.2024 06:00:00;13.02.2024 07:00:00;0;0;1110;889;;18;93;2110
13.02.2024 07:00:00;13.02.2024 08:00:00;0;0;1110;954;;18;72;2154
13.02.2024 08:00:00;13.02.2024 09:00:00;0;0;1100;950;;19;54;2123
13.02.2024 09:00:00;13.02.2024 10:00:00;0;0;1102;954;;19;40;2115
13.02.2024 10:00:00;13.02.2024 11:00:00;0;0;1106;945;;18;22;2091
13.02.2024 11:00:00;13.02.2024 12:00:00;0;0;1110;924;;18;8;2060
13.02.2024 12:00:00;13.02.2024 13:00:00;0;0;1111;781;;18;2;1912
13.02.2024 13:00:00;13.02.2024 14:00:00;0;0;1115;786;;18;2;1921
13.02.2024 14:00:00;13.02.2024 15:00:00;0;0;1111;862;;18;1;1992
13.02.2024 15:00:00;13.02.2024 16:00:00;0;0;1123;987;;17;0;2127
13.02.2024 16:00:00;13.02.2024 17:00:00;0;0;1120;951;;18;1;2090
13.02.2024 17:00:00;13.02.2024 18:00:00;0;0;1121;1027;;18;3;2169
13.02.2024 18:00:00;13.02.2024 19:00:00;0;0;1119;1023;;17;1;2160
13.02.2024 19:00:00;13.02.2024 20:00:00;0;0;1120;988;;18;2;2128
13.02.2024 20:00:00;13.02.2024 21:00:00;0;0;1127;1015;;18;3;2163
13.02.2024 21:00:00;13.02.2024 22:00:00;0;0;1125;1005;;19;4;2153
13.02.2024 22:00:00;13.02.2024 23:00:00;0;0;1122;993;;16;5;2136
13.02.2024 23:00:00;14.02.2024 00:00:00;0;0;1112;868;;16;6;2002
14.02.2024 00:00:00;14.02.2024 01:00:00;0;0;1117;776;;17;12;1922
14.02.2024 01:00:00;14.02.2024 02:00:00;0;0;1112;745;;18;13;1888
14.02.2024 02:00:00;14.02.2024 03:00:00;0;0;1113;731;;18;31;1893
14.02.2024 03:00:00;14.02.2024 04:00:00;0;0;1101;720;;18;32;1871
14.02.2024 04:00:00;14.02.2024 05:00:00;0;0;1102;720;;18;27;1867
14.02.2024 05:00:00;14.02.2024 06:00:00;0;0;1111;745;;18;39;1913
14.02.2024 06:00:00;14.02.2024 07:00:00;0;0;1119;846;;19;32;2016
14.02.2024 07:00:00;14.02.2024 08:00:00;0;0;1113;975;;18;27;2133
14.02.2024 08:00:00;14.02.2024 09:00:00;0;0;1119;926;;17;28;2090
14.02.2024 09:00:00;14.02.2024 10:00:00;0;0;1116;946;;17;38;2117
14.02.2024 10:00:00;14.02.2024 11:00:00;0;0;1117;1013;;16;40;2186
14.02.2024 11:00:00;14.02.2024 12:00:00;0;0;1116;975;;16;49;2156
14.02.2024 12:00:00;14.02.2024 13:00:00;0;0;1119;831;;17;42;2009
14.02.2024 13:00:00;14.02.2024 14:00:00;0;0;1118;858;;17;26;2019
14.02.2024 14:00:00;14.02.2024 15:00:00;0;0;1114;945;;17;19;2095
14.02.2024 15:00:00;14.02.2024 16:00:00;0;0;1120;980;;16;19;2135
14.02.2024 16:00:00;14.02.2024 17:00:00;0;0;1125;986;;16;26;2153
14.02.2024 17:00:00;14.02.2024 18:00:00;0;0;1127;972;;15;27;2141
14.02.2024 18:00:00;14.02.2024 19:00:00;0;0;1120;938;;16;17;2091
14.02.2024 19:00:00;14.02.2024 20:00:00;0;0;1125;995;;16;13;2149
14.02.2024 20:00:00;14.02.2024 21:00:00;0;0;1122;974;;16;11;2123
14.02.2024 21:00:00;14.02.2024 22:00:00;0;0;1131;1001;;17;13;2162
14.02.2024 22:00:00;14.02.2024 23:00:00;0;0;1121;1002;;16;15;2154
14.02.2024 23:00:00;15.02.2024 00:00:00;0;0;1110;864;;17;12;2003
15.02.2024 00:00:00;15.02.2024 01:00:00;0;0;1111;847;;17;16;1991
15.02.2024 01:00:00;15.02.2024 02:00:00;0;0;1105;939;;17;12;2073
15.02.2024 02:00:00;15.02.2024 03:00:00;0;0;1105;858;;17;7;1987
15.02.2024 03:00:00;15.02.2024 04:00:00;0;0;1095;747;;18;5;1865
15.02.2024 04:00:00;15.02.2024 05:00:00;0;0;1102;773;;17;2;1894
15.02.2024 05:00:00;15.02.2024 06:00:00;0;0;1105;858;;17;1;1981
15.02.2024 06:00:00;15.02.2024 07:00:00;0;0;1120;1022;;17;1;2160
15.02.2024 07:00:00;15.02.2024 08:00:00;0;0;1123;1012;;17;4;2156
15.02.2024 08:00:00;15.02.2024 09:00:00;0;0;1127;1029;;17;10;2183
15.02.2024 09:00:00;15.02.2024 10:00:00;0;0;1127;998;;16;10;2151
15.02.2024 10:00:00;15.02.2024 11:00:00;0;0;1120;988;;15;11;2134
15.02.2024 11:00:00;15.02.2024 12:00:00;0;0;1123;986;;15;8;2132
15.02.2024 12:00:00;15.02.2024 13:00:00;0;0;1121;1010;;15;8;2154
15.02.2024 13:00:00;15.02.2024 14:00:00;0;0;1116;980;;15;7;2118
15.02.2024 14:00:00;15.02.2024 15:00:00;0;0;1116;974;;15;16;2121
15.02.2024 15:00:00;15.02.2024 16:00:00;0;0;1120;937;;16;24;2097
15.02.2024 16:00:00;15.02.2024 17:00:00;0;0;1120;1006;;16;36;2178
15.02.2024 17:00:00;15.02.2024 18:00:00;0;0;1119;982;;16;45;2162
15.02.2024 18:00:00;15.02.2024 19:00:00;0;0;1112;994;;17;52;2175
15.02.2024 19:00:00;15.02.2024 20:00:00;0;0;1115;987;;17;68;2187
15.02.2024 20:00:00;15.02.2024 21:00:00;0;0;1110;888;;16;81;2095
15.02.2024 21:00:00;15.02.2024 22:00:00;0;0;1101;881;;12;90;2084
15.02.2024 22:00:00;15.02.2024 23:00:00;0;0;1101;976;;11;93;2181
15.02.2024 23:00:00;16.02.2024 00:00:00;0;0;1082;738;;11;110;1941
16.02.2024 00:00:00;16.02.2024 01:00:00;0;0;1080;502;;11;126;1719
16.02.2024 01:00:00;16.02.2024 02:00:00;0;0;1069;355;;11;127;1562
16.02.2024 02:00:00;16.02.2024 03:00:00;0;0;1075;302;;12;175;1564
16.02.2024 03:00:00;16.02.2024 04:00:00;0;0;1077;245;;12;169;1503
16.02.2024 04:00:00;16.02.2024 05:00:00;0;0;1078;335;;12;150;1575
16.02.2024 05:00:00;16.02.2024 06:00:00;0;0;1080;462;;12;121;1675
